"Contador";"GP2Y1010AU0F";"DSM501A"
"1";"71.27";"51.17"
"2";"74.32";"54.21"
"3";"75.98";"60.32"
"4";"76.25";"61.43"
"5";"71.27";"52.87"
"6";"73.21";"54.65"
"7";"254.11";"301.33"
"8";"287.32";"321.99"
"9";"293.16";"332.76"
"10";"286.98";"327.87"
"11";"282.73";"329.66"
"12";"275.55";"321.32"
"13";"268.90";"318.22"
"14";"271.45";"322.87"
"15";"245.16";"299.11"
"16";"253.32";"302.24"
"17";"231.76";"287.33"
"18";"219.22";"258.12"

